,Unnamed: 0.1,Unnamed: 0,article,qid,total_pageviews,description,category,page_size,revisions_since_2024,incoming_number,outgoing_number
239,239,239,Endurance,Q778298,14049,ability of an organism to exert itself and remain active for a long period of time,Low-importance,16797.0,27,490,265
240,240,240,Enteric_fever,Q125820254,3771,bacterial disease caused by the bacteria Salmonellosis,Low-importance,1655.0,9,85,26
241,241,241,Enteritis,Q854353,1523654,intestinal inflammatory disease,Mid-importance,19257.0,39,390,367
242,242,242,Envision_Healthcare,Q28155562,1044,American healthcare company,Low-importance,8595.0,12,52,76
243,243,243,Epidemiology_of_obesity,Q5382727,371,recognization of obesity as an epidemic,Low-importance,52460.0,29,109,732
244,244,244,Equinox_Group,Q5384535,28991,American luxury fitness company which operates five separate fitness brands,Low-importance,12606.0,25,45,67
245,245,245,Erin_Elizabeth,Q107691497,2102,American alternative health advocate and conspiracy theorist,Low-importance,6731.0,69,10,28
246,246,246,Executive_Order_13765,Q28540350,236,executive order signed by U.S. President Donald Trump,Low-importance,8937.0,8,67,103
247,247,247,Exercise,Q219067,252914,bodily activity that enhances or maintains physical fitness and overall health and wellness,High-importance,85909.0,46,755,817
248,248,248,Exercise-induced_anaphylaxis,Q25399683,225,severe allergic reaction due to physical activity,Unknown-importance,20048.0,7,47,88
249,249,249,Exercise_physiology,Q472094,7502,study devoted to understanding the acute and chronic responses to physical activity,High-importance,63576.0,54,289,553
250,250,250,Exhausted,Q9690,1090,medical symptom usually of physical and/or mental weakness that does not resolve with rest or sleep,Mid-importance,21.0,0,3,1
251,251,251,Exposure_(Bilott_book),Q100699629,2457,2019 memoir by Robert Bilott,Low-importance,6036.0,5,3,40
252,252,252,Face_the_wall_squat,Q1755746,1663,workout that targets the legs,High-importance,39.0,0,0,1
253,253,253,Failure_to_thrive,Q1497481,28894,condition of children whose current weight or rate of weight gain is much lower than expected,Low-importance,56601.0,17,360,4258
254,254,254,False_advertising,Q1371586,38281,misleading content in advertisements,Low-importance,53343.0,26,455,433
255,255,255,Fast_of_Nineveh,Q5437046,4074,three-day fast in Syriac Christianity,Low-importance,12156.0,21,117,80
256,256,256,Fasting,Q44602,187692,"willing abstinence from some, or reduced consumption of, food, drink or both, for a period of time",Low-importance,35807.0,149,1871,1893
257,257,257,Fat-shaming,Q7074872,134,weight prejudice,Unknown-importance,63.0,0,11,8
258,258,258,Fat_acceptance_movement,Q2822683,19825,social movement seeking to change anti-fat bias in social attitudes,Unknown-importance,56116.0,84,574,811
259,259,259,Fat_fetishism,Q22905841,79981,type of paraphilia,Mid-importance,7820.0,22,289,229
260,260,260,Fat_tax,Q1326227,1200,surcharge on fattening foods or drinks,Low-importance,27617.0,11,342,444
261,261,261,Father_Yod,Q5437668,19967,American restaurateur and spiritual leader,Low-importance,11965.0,17,32,79
262,262,262,Fatigability,Q9690,369,medical symptom usually of physical and/or mental weakness that does not resolve with rest or sleep,Mid-importance,21.0,0,1,1
263,263,263,Fatigue,Q9690,99211,medical symptom usually of physical and/or mental weakness that does not resolve with rest or sleep,Mid-importance,123296.0,749,833,861
264,264,264,"Feed_a_cold,_starve_a_fever",Q116873421,9983,Old adage about curing illness,Low-importance,13633.0,15,3,69
265,265,265,Ferber_method,Q3333536,44743,disputed technique used to solve infant sleeping problems,Low-importance,5819.0,10,15,32
266,266,266,Finnish_sauna,Q1598293,10317,traditional Finnish way of bathing,High-importance,25713.0,42,460,604
267,267,267,Fitness_trail,Q443006,319,path with outdoor body exercise obstacles for promoting good health,Low-importance,19436.0,11,41,146
268,268,268,Flexible_spending_account,Q5458993,1767,"one of a number of tax-advantaged financial accounts, resulting in payroll tax savings",Low-importance,34917.0,11,218,121
269,269,269,Flo_(app),Q60761955,801,menstruation and menopause tracking app,Low-importance,20342.0,72,11,93
270,270,270,Fly_(exercise),Q255513,254,strength training exercise,Unknown-importance,13668.0,13,20,131
271,271,271,Food_Safety_and_Standards_Authority_of_India,Q5465383,314,government body in India,Mid-importance,22139.0,61,83,123
272,272,272,Food_allergy,Q769815,4496,"hypersensitivity reaction type I disease that is an abnormal response to a food, triggered by the body's immune system",High-importance,119237.0,49,311,977
273,273,273,Footspeed,Q5466593,2463,maximum speed that a human can run,Unknown-importance,6705.0,30,22,48
274,274,274,Forced_sterilization_in_Peru,Q97170499,2702,1990s ethnic cleansing of native peoples,Low-importance,49704.0,149,326,561
275,275,275,Forest_bathing,Q48818118,1617,Broad group of unscientific techniques or treatments for health,Low-importance,28.0,0,7,1
276,276,276,Form_1095,Q25083451,8279,United States tax form,Low-importance,9733.0,3,14,30
277,277,277,Forrest_Preston,Q21066960,912,American Businessman,Low-importance,6563.0,17,10,27
278,278,278,FreeLife,Q5499653,183,American multi-level marketing company,Low-importance,9990.0,5,98,158
279,279,279,French_paradox,Q920134,1372,catchphrase for the apparent paradox that French people have a low incidence of heart disease while consuming many saturated fats,Low-importance,18685.0,28,532,530
280,280,280,Fresh'n,Q5502913,685,1970s toilet paper substitute,Unknown-importance,1177.0,0,2,12
281,281,281,Furious_Pete,Q13399911,1516,"Canadian bodybuilder, competitive eater and YouTuber",Low-importance,7204.0,29,56,61
282,282,282,GMO_food_labelling,Q2575667,370,controversies over GMO food,Low-importance,62.0,0,1,1
283,283,283,Gait_belt,Q5517369,172,device put on a patient who has mobility issues,Low-importance,6341.0,7,2,37
284,284,284,Gary_Taubes,Q3098624,1585,American science writer,Low-importance,20375.0,15,99,245
285,285,285,Gaza_Health_Ministry,Q724644,4797,government ministry of the State of Palestine,Low-importance,38696.0,249,132,186
286,286,286,Gender-affirming_care,Q28130218,12539,prevention of disease and promotion of wellbeing for transgender individuals,Mid-importance,76.0,0,126,5
287,287,287,Genetically_modified_food_controversies,Q2575667,1888,controversies over GMO food,Low-importance,314636.0,54,254,1695
288,288,288,Geoffrey_Woo,Q123575836,13088,American business person,Low-importance,14603.0,31,5,65
289,289,289,Give_up_smoking,Q2462253,302,process of discontinuing tobacco smoking,Low-importance,31.0,0,1,1
290,290,290,Glasgow_effect,Q5566976,3912,"low life expectancy and poor health of residents of Scotland, and Glasgow in particular, compared to the rest of Europe",Unknown-importance,22328.0,47,93,239
291,291,291,Gleem,Q5567491,133,brand of oral hygiene products,Low-importance,5139.0,1,87,94
292,292,292,Global_Accessibility_Awareness_Day,Q30325118,2428,"The purpose of GAAD is to get everyone talking, thinking and learning about digital (web, software, mobile, etc.) access/inclusion and people with different disabilities.",Low-importance,11668.0,8,6,72
293,293,293,Global_health,Q2725393,474,collaborative trans-national research and action for promoting health for all,High-importance,110029.0,171,796,1249
294,294,294,Global_health_emergency,Q17076801,13706,"an extraordinary event which is determined to constitute a public health risk to other States through the international spread of disease and to potentially require a coordinated international response, as declared by WHO",Low-importance,62.0,0,3,1
295,295,295,Glycemic_load,Q1929014,278,estimate of how much a quantity of food will raise a person's blood glucose level,Mid-importance,17879.0,14,23,91
296,296,296,Goggle,Q72797,321,forms of protective eyewear,Low-importance,68.0,1,17,12
297,297,297,Goggles,Q72797,91,forms of protective eyewear,Low-importance,13639.0,19,485,170
298,298,298,Gold's_Gym,Q1536234,47783,US international fitness center chain,Low-importance,28405.0,53,155,158
299,299,299,Google_Fit,Q18150347,117,health platform,Low-importance,8717.0,17,569,1128
300,300,300,Google_Health,Q1296464,649,"division of Google, dealing with personal health information",Unknown-importance,47362.0,23,575,1208
301,301,301,Great_American_Smokeout,Q5598647,91,Day to encourage smoking cessation,Low-importance,3767.0,3,25,31
302,302,302,Greg_Plitt,Q5606144,94526,American fitness model and actor (1977–2015),Mid-importance,10859.0,8,33,74
303,303,303,Gregg_Gonsalves,Q5606534,495,"American epidemiologist, health activist and MacArthur Fellow",Low-importance,17290.0,5,14,126
304,304,304,Grippers,Q1435859,8464,used to test and increase the strength of the hands,Low-importance,16867.0,9,23,57
305,305,305,Ground-glass_opacity,Q3150728,32740,"for some diseases or changes in the lungs, examination shows uniform-looking, lighter areas in the lungs",Unknown-importance,25477.0,4,147,278
306,306,306,Grunya_Sukhareva,Q514110,93,Ukrainian-Russian psychiatrist and university teacher (1891-1981),Low-importance,21162.0,34,14,241
307,307,307,Grupo_Omnilife,Q5612243,742,Mexican multi-level marketing company,Low-importance,6733.0,5,116,136
308,308,308,Gym,Q14092,7983,building designed and equipped for athletics and fitness,Low-importance,13187.0,32,1583,384
309,309,309,Gyroscopic_exercise_tool,Q261030,151,trademark,Low-importance,6440.0,27,16,40
310,310,310,Hair_care,Q3633540,303,hygiene and cosmetology involving human hair,Low-importance,26224.0,14,121,152
311,311,311,Hairbrush,Q1642980,315,stick brush with rigid or soft bristles used in hair care,Low-importance,5464.0,32,235,245
312,312,312,Halasana,Q12459994,232,inverted posture in hatha yoga,Mid-importance,5865.0,22,153,339
313,313,313,Hammer_toe,Q602477,58225,"deformity of the proximal joint of the second, third or fourth toe",Unknown-importance,7331.0,13,153,195
314,314,314,Handkerchief,Q192411,22445,piece of cloth for personal use,Low-importance,10207.0,21,255,84
315,315,315,Hans_Rosling,Q588259,2232,"Swedish medical doctor, academic, statistician and public speaker",Unknown-importance,35518.0,26,233,358
316,316,316,Harley_Pasternak,Q5658834,17498,Canadian personal trainer,Unknown-importance,18670.0,81,8,169
317,317,317,Harm_reduction,Q1458711,22072,range of public health policies designed to lessen the negative social and/or physical consequences associated with various human behaviors,Unknown-importance,95962.0,50,861,962
318,318,318,Harry_and_Louise,Q5673634,243,1993–94 American political ad campaign,Low-importance,8484.0,2,12,72
319,319,319,Haven_Healthcare,Q65080847,758,American healthcare company,Low-importance,12836.0,8,4,180
320,320,320,Healing,Q1581290,2235,process of the restoration of health,Mid-importance,11946.0,14,310,101
321,321,321,Health,Q12147,270503,desirable level of functional or metabolic efficiency of a living being,High-importance,61592.0,41,2255,623
322,322,322,HealthCorps,Q16983661,1318,organization,Low-importance,19261.0,6,15,54
323,323,323,Health_Authorities_Act_1995,Q16251481,277,publicly funded system of healthcare in England,High-importance,3467.0,17,18,768
324,324,324,Health_Ministry_of_the_Gaza_Strip,Q724644,698,government ministry of the State of Palestine,Low-importance,34.0,0,1,1
325,325,325,Health_among_the_Amish,Q21070799,5801,Health disorders within Amish communities,Low-importance,32666.0,19,48,242
326,326,326,Health_and_appearance_of_Michael_Jackson,Q2578140,594038,health of a celebrity,High-importance,108853.0,86,206,558
327,327,327,Health_care,Q31207,291808,prevention of disease and promotion of wellbeing of humans and animals,High-importance,47425.0,214,3562,900
328,328,328,Health_care_in_Canada,Q3535133,294,overview of healthcare,Mid-importance,51.0,0,80,2
329,329,329,Health_care_in_France,Q2745492,284,overview of the health care system in France,Low-importance,41632.0,21,264,325
330,330,330,Health_care_in_the_United_States,Q1358017,6509,health care system in the United States of America,Mid-importance,92.0,0,303,5
331,331,331,Health_care_prices_in_the_United_States,Q5690885,143,market and non-market factors that determine pricing,Mid-importance,37809.0,9,485,169
332,332,332,Health_care_system_in_Japan,Q2511133,1284,overview of the health care system in Japan,Mid-importance,39149.0,19,34,356
333,333,333,Health_department,Q1312371,287,governmental agency,Unknown-importance,27325.0,18,222,218
334,334,334,Health_disparities,Q1512929,660,impartiality in the quality of health and healthcare,Low-importance,27.0,0,208,1
335,335,335,Health_education,Q60894,290,education for awareness of and influence on the attitude of health,Unknown-importance,46467.0,37,843,835
336,336,336,Health_effects_arising_from_the_September_11_attacks,Q2059842,60084,health effects 9/11 has caused,Low-importance,94784.0,41,178,511
337,337,337,Health_effects_of_tobacco,Q465016,24133,"circumstances, mechanisms, and factors of tobacco consumption on human health",High-importance,208340.0,131,461,1381
338,338,338,Health_equity,Q1512929,314,impartiality in the quality of health and healthcare,Low-importance,161957.0,99,622,893
339,339,339,Health_in_China,Q3473043,186,overview of health in China,Mid-importance,77160.0,51,395,971
340,340,340,Health_in_India,Q13156121,90,wellbeing of people in India,High-importance,76162.0,46,584,1001
341,341,341,Health_in_Vanuatu,Q60521481,126,,Low-importance,6093.0,3,70,237
342,342,342,Health_in_the_State_of_Palestine,Q22948909,133,health issues in Palestine,Low-importance,33.0,4,1,1
343,343,343,Health_informatics,Q870895,25200,"discipline at the intersection of information science, computer science, and health care",High-importance,116343.0,76,681,917
344,344,344,Health_information_on_Wikipedia,Q16235120,362,Wikipedia's content on health and medicine topics,High-importance,66832.0,17,238,555
345,345,345,Health_insurance,Q334911,44561,insurance that covers the whole or a part of the risk of a person incurring medical and healthcare expenses,High-importance,96030.0,109,1818,890
346,346,346,Health_insurance_coverage_in_the_United_States,Q5691094,860,,High-importance,94151.0,24,389,475
347,347,347,Health_insurance_in_the_United_States,Q5691099,27248,overview about the health insurance in the United States,High-importance,135341.0,59,858,1466
348,348,348,Health_literacy,Q3097973,477,"degree to which individuals have the capacity to obtain, process, and understand basic health information and services needed to make appropriate health decisions",Low-importance,67349.0,59,541,537
349,349,349,Health_policy,Q1519812,441,"policy area, which deals with the planning, organization, management and financing of the health system",Unknown-importance,36450.0,30,749,519
350,350,350,Health_professional,Q11974939,12718,individual who provides medical treatments and health advice,Mid-importance,50546.0,28,406,423
351,351,351,Health_savings_account,Q5691144,18594,American tax-advantaged medical savings account,Low-importance,45056.0,20,258,200
352,352,352,Health_technology,Q1519843,645,"application of organized knowledge and skills in the form of devices, medicines, vaccines, procedures and systems developed to solve a health problem",High-importance,51381.0,31,452,276
353,353,353,Healthcare_in_Canada,Q3535133,7800,overview of healthcare,Mid-importance,239879.0,133,499,1246
354,354,354,Healthcare_in_England,Q16152524,97,overview of the health care system in England,Low-importance,40863.0,64,26,351
355,355,355,Healthcare_in_Germany,Q245984,1477,overview of healthcare in Germany,Mid-importance,49008.0,66,276,399
356,356,356,Healthcare_in_India,Q21901381,1182,three tier health care system,High-importance,113201.0,69,748,1242
357,357,357,Healthcare_in_Luxembourg,Q25040520,113,,Low-importance,12029.0,6,83,92
358,358,358,Healthcare_in_Singapore,Q5691309,136,Healthcare in Singapore,Mid-importance,44082.0,13,218,383
359,359,359,Healthcare_in_South_Korea,Q60521539,1638,overview of the healthcare in South Korea,High-importance,42143.0,41,92,229
360,360,360,Healthcare_in_Switzerland,Q357702,1123,overview of the health care system in Switzerland,Low-importance,26194.0,31,295,341
361,361,361,Healthcare_in_the_United_Kingdom,Q2764529,424,overview of the health care system in the United Kingdom,High-importance,37376.0,36,409,594
362,362,362,Healthcare_in_the_United_States,Q1358017,108947,health care system in the United States of America,Mid-importance,244458.0,254,870,1814
363,363,363,Healthcare_industry,Q15067276,5341,industry dedicated to providing health care services and products,Unknown-importance,28092.0,16,343,806
364,364,364,Healthcare_reform_in_the_United_States,Q1156735,499,overview of healthcare reforms in the United States,Mid-importance,81834.0,45,176,835
365,365,365,Healthline,Q16983671,14580,American health information company,Unknown-importance,12068.0,55,37,90
366,366,366,Healthy_diet,Q5906358,55801,diet that helps maintain or improve general health,High-importance,62929.0,43,536,709
367,367,367,Heated_tobacco_product,Q28657989,1012,electric device heating cigarettes,Unknown-importance,120283.0,56,140,581
368,368,368,Herbal_cigarette,Q490680,24160,cigarette composed of a mixture of various herbs which does not contain any tobacco,Unknown-importance,9664.0,27,113,141
369,369,369,Herbalife,Q572948,143582,American based multi-level marketing company,Low-importance,90295.0,108,224,513
370,370,370,High-deductible_health_plan,Q5754479,486,health insurance plan with lower premiums and higher deductibles than a traditional health plan,Unknown-importance,18553.0,5,57,121
371,371,371,High-intensity_interval_training,Q2756206,84549,exercise strategy alternating periods of short intense exercise with less-intense recovery periods,Low-importance,43093.0,34,93,296
372,372,372,Hiker,Q12014035,339,"walking as a hobby, sport, or leisure activity",Mid-importance,62.0,1,72,10
373,373,373,Hiking,Q12014035,47801,"walking as a hobby, sport, or leisure activity",Mid-importance,56246.0,96,4385,656
374,374,374,Himalaya_Wellness_Company,Q7739717,197,Indian multinational company,Low-importance,10799.0,34,13,69
375,375,375,Hims_&_Hers_Health,Q64363662,111468,American telehealth company,Low-importance,9559.0,59,368,455
376,376,376,History_of_Lance_Armstrong_doping_allegations,Q6483313,5608,Cycling doping allegations,Low-importance,48514.0,14,82,239
377,377,377,History_of_physical_training_and_fitness,Q104870187,738,history of physical training,Mid-importance,41018.0,51,99,133
378,378,378,Home_care,Q1642542,91,"health care or supportive care provided by a professional caregiver, medical and paramedical personnel in the individual home where the patient or client is living",Unknown-importance,6151.0,34,249,77
379,379,379,Human_body_weight,Q620876,141231,person's mass or weight,Low-importance,46416.0,108,117,301
380,380,380,Human_height,Q476112,94035,"distance from the bottom of the feet to the top of the head in a human body, standing erect",Mid-importance,73987.0,249,156,432
381,381,381,Human_kinetics,Q657632,450,"study of anatomy, physiology, and mechanics of body movement, especially in humans",High-importance,54.0,0,9,6
382,382,382,Human_medicine,Q11190,955,"field of study for diagnosing, treating and preventing disease",High-importance,22.0,0,41,1
383,383,383,Humana,Q910866,61962,American managed health care company,High-importance,33911.0,34,234,303
384,384,384,Hygiene,Q162297,46710,set of practices performed for the preservation of health,Low-importance,96380.0,104,1151,1188
385,385,385,Hyperextension_(exercise),Q928057,225,physical exercise,Unknown-importance,5317.0,9,68,94
386,386,386,Hyperpalatable_food,Q123051125,119,food that triggers the brain's reward system,Mid-importance,11739.0,22,12,87
387,387,387,ISKCON,Q190193,69744,religious organisation,High-importance,98.0,0,268,8
388,388,388,Impact_of_the_COVID-19_pandemic_on_prisons,Q89864650,141,impact of the ongoing viral pandemic on prisons,Mid-importance,96434.0,15,1327,1996
389,389,389,Indian_club,Q2804113,5486,type of exercise equipment,Low-importance,12195.0,51,141,237
390,390,390,Individual_shared_responsibility_provision,Q24525996,317,health insurance mandate imposed on individuals by the Affordable Care Act in the United States,Unknown-importance,14204.0,8,36,56
391,391,391,Indoor_tanning,Q646347,735,tanning using an artificial source of ultraviolet light,Unknown-importance,67885.0,53,62,371
392,392,392,Industrial_and_organizational_psychology,Q2045692,36668,branch of psychology,High-importance,112474.0,81,946,550
393,393,393,Intermittent_fasting,Q1666254,264347,a diet that cycles between a period of fasting and non-fasting,Low-importance,67440.0,120,287,666
394,394,394,International_Day_of_Yoga,Q18621241,23654,"21 June, official international day celebrating yoga",Mid-importance,17623.0,84,417,346
395,395,395,International_Society_for_Krishna_Consciousness,Q190193,489995,religious organisation,High-importance,141347.0,554,1733,1475
396,396,396,Ipana,Q6064878,714,toothpaste product by Bristol-Myers,Low-importance,9759.0,6,25,69
397,397,397,Isometric_exercise,Q1216236,40993,Static contraction exercise,Unknown-importance,19200.0,5,138,76
398,398,398,Jack_LaLanne,Q1677099,524110,American exercise instructor (1914–2011),Mid-importance,48596.0,32,254,363
399,399,399,Jackson_Sanatorium,Q111903953,298,mineral spa,Low-importance,17409.0,7,10,36
400,400,400,Jane_Bunford,Q3806992,1320,tallest recognised British person (1895-1922),Low-importance,6838.0,21,7,35
401,401,401,Jane_Fonda's_Workout,Q104855274,1154,1982 exercise video series by Jane Fonda & Leni Cazden (re-released in 2014),Mid-importance,38910.0,34,26,187
402,402,402,Japanese_work_environment,Q6159180,1637,"work culture in Japan characterized by simultaneous recruiting of new graduates (shinsotsu-Ikkatsu saiyō), lifetime-employment (shūshin koyō), long work-hours and strong devotion to one's company",High-importance,35872.0,20,146,280
403,403,403,Jay_Loeffler,Q33124729,523,American physician,Unknown-importance,4547.0,3,7,38
404,404,404,Jess_King,Q96369273,5284,fitness instructor,Unknown-importance,6634.0,9,34,40
405,405,405,Jessie_InchauspÃ©,Q113088786,60733,French biochemist and author,Low-importance,,0,0,0
406,406,406,Joanie_Greggains,Q6205700,144,American fitness instructor,Unknown-importance,6162.0,8,8,25
407,407,407,Joe_Gold,Q5143667,454,founder of Gold's Gym and World Gym,Low-importance,6422.0,12,20,54
408,408,408,Jogging,Q816261,565,form of trotting or running at a slow or leisurely pace,High-importance,11657.0,12,344,145
409,409,409,John_Basedow,Q6220997,2617,TV Health and Fitness Personality,Low-importance,13139.0,12,6,106
410,410,410,John_Brownstein,Q26704483,178,Canadian epidemiologist,Unknown-importance,34637.0,12,14,202
411,411,411,Johnson_&_Johnson,Q333718,493477,"U.S multinational medical devices, pharmaceutical and consumer packaged goods manufacturer",Mid-importance,131807.0,210,1583,1007
412,412,412,Juice_Plus,Q17060987,587,dietary supplement,Low-importance,36484.0,44,160,279
413,413,413,Julia_Cheek,Q123481212,799,,Low-importance,1964.0,1,0,24
414,414,414,Jumping_jack,Q9284972,1488,physical jumping exercise,Mid-importance,6012.0,13,34,30
415,415,415,Karoshi,Q1051107,79049,sudden death from overwork,High-importance,29327.0,37,666,1166
416,416,416,KatrÃ­n_DavÃ­Ã°sdÃ³ttir,Q21621138,71009,Icelandic CrossFit athlete,Low-importance,,0,0,0
417,417,417,Katy_M._O'Brian,Q104112057,349300,"American actress, writer and martial artist",Unknown-importance,77.0,1,1,7
418,418,418,Katy_O'Brian,Q104112057,908551,"American actress, writer and martial artist",Unknown-importance,16409.0,146,61,102
419,419,419,Kawa_model,Q119348715,1832,conceptual model in occupational therapy,Low-importance,26662.0,15,3,78
420,420,420,Kenneth_Brumley,Q4095786,827,One of the Worlds heaviest people,Low-importance,2517.0,7,2,30
421,421,421,Ketchup_as_a_vegetable,Q1739859,4956,American political controversy,Unknown-importance,36566.0,8,10,101
422,422,422,Kettlebell,Q376762,3586,"piece of equipment used in weight training, consisting of a handle and a belly of the bell",Unknown-importance,22051.0,65,70,89
423,423,423,Kevin_Hines,Q60735041,96062,"Suicide attempt survivor, jumped from the Golden Gate Bridge, advocating against suicide",Low-importance,12694.0,25,6,72
424,424,424,Kevin_Trudeau,Q6397659,99069,"philanthropist, entrepreneur, and mass communications expert",Low-importance,86717.0,73,35,331
425,425,425,KidsCare,Q1141363,540,United States social health care program for families and individuals with limited resources,Mid-importance,22.0,1,1,1
426,426,426,Kinesiologist,Q657632,7030,"study of anatomy, physiology, and mechanics of body movement, especially in humans",High-importance,25.0,0,17,1
427,427,427,Kinesiology,Q657632,471944,"study of anatomy, physiology, and mechanics of body movement, especially in humans",High-importance,77211.0,48,622,381
428,428,428,Kurmasana,Q796473,123,seated forward bending posture in hatha yoga,Mid-importance,6248.0,6,145,343
429,429,429,LA_Fitness,Q6457180,48019,health club chain in the United States and Canada,Low-importance,13138.0,189,92,80
430,430,430,LRC_International,Q1675535,226,British company,Low-importance,53.0,1,1,1
431,431,431,Lactate_threshold,Q3480702,208,oxygen consumption level above which aerobic energy production is supplemented by anaerobic mechanisms during exercise,High-importance,10648.0,18,19,46
432,432,432,Laundry,Q852100,31798,process of washing textiles,Low-importance,27874.0,44,976,552
433,433,433,Laxative,Q217972,69145,"agents that produce a soft formed stool, and relax and loosen the bowels, typically used over a protracted period, to relieve constipation",Mid-importance,25362.0,9,671,426
434,434,434,"Lead_contamination_in_Washington,_D.C.,_drinking_water",Q6508405,287,water contamination incident in the United States,Low-importance,88213.0,14,6,197
435,435,435,Leg_extension,Q2588216,94,resistance weight training exercise,Unknown-importance,3233.0,37,62,80
436,436,436,Legal_drinking_age,Q2915195,351536,minimum age for legal alcohol consumption,Low-importance,166263.0,182,581,1183
437,437,437,Legal_smoking_age,Q7546043,33247,minimum age to purchase or use tobacco products,Mid-importance,128467.0,78,208,969
438,438,438,Let's_Move!,Q6532507,953,public health campaign in the United States,Low-importance,39543.0,29,108,199
439,439,439,Lethargy,Q15637420,3334,"state of tiredness, weariness, fatigue, or lack of energy",Low-importance,2182.0,7,364,23
440,440,440,Life_Time_Fitness,Q6545004,50506,chain of fitness centers operating in the United States and Canada,Low-importance,76.0,1,67,5
441,441,441,Lifestyle_disease,Q12600757,289,"non-communicable diseases linked with the way people live their life, commonly caused by lack of physical activity, unhealthy eating, alcohol, drugs and smoking",Mid-importance,19929.0,23,35,136
442,442,442,Light_pollution,Q180644,52935,"anthropogenic light in the night environment, caused by excess or misdirected lighting",Low-importance,156022.0,158,1189,1359
443,443,443,Lip_balm,Q1518347,14900,wax-like substance for moisturizing and relieving chapped or dry lips,Low-importance,18852.0,31,357,397
444,444,444,List_of_asanas,Q2240937,18366,Wikimedia list article,Mid-importance,50038.0,33,404,500
445,445,445,List_of_awareness_ribbons,Q2585434,91484,Wikimedia list article,Low-importance,39796.0,21,45,415
446,446,446,List_of_barefooters,Q128693423,127,Wikimedia list article,Unknown-importance,68087.0,196,8,478
447,447,447,List_of_countries_by_infant_and_under-five_mortality_rates,Q1373300,3514,Wikimedia list article,Low-importance,138124.0,10,198,384
448,448,448,List_of_deaths_due_to_COVID-19,Q88027839,90061,Wikimedia list article,High-importance,362883.0,455,1350,6257
449,449,449,List_of_fatal_dog_attacks,Q96389388,795,list of fatal dog attacks worldwide,Unknown-importance,260133.0,386,20,1211
450,450,450,List_of_foodborne_illness_outbreaks_in_the_United_States,Q6620586,876,Wikimedia list article,Low-importance,72209.0,38,224,592
451,451,451,List_of_health_deities,Q51845850,56420,Wikimedia list article,Low-importance,19259.0,34,103,327
452,452,452,List_of_smoking_bans,Q1850609,1277,Wikimedia list article,Low-importance,240663.0,84,252,1090
453,453,453,List_of_sovereign_states_by_body_mass_index,Q25214343,19372,Wikimedia list article,High-importance,97.0,1,3,5
454,454,454,List_of_swimming_styles,Q1154385,1093,swimming style,Low-importance,29.0,0,9,1
455,455,455,List_of_toothpaste_brands,Q17006249,11720,Wikimedia list article,Mid-importance,25001.0,54,40,190
456,456,456,List_of_weight_training_exercises,Q4350159,5639,Wikimedia list article,Low-importance,24352.0,20,68,139
457,457,457,Low-emission_zone,Q647266,131,defined area,High-importance,27566.0,34,68,194
458,458,458,Lucille_Roberts,Q14948759,121,American businessman,Low-importance,4423.0,17,4,22
459,459,459,Lunge_(exercise),Q2302075,1074,type of exercise,Unknown-importance,5122.0,4,124,192
460,460,460,Lviv_State_University_of_Physical_Culture,Q4271075,175,"public university in Lviv, Ukraine",Low-importance,12080.0,8,164,73
461,461,461,Lying-in,Q17005954,92,old childbirth practice,Low-importance,6339.0,4,54,35
462,462,462,MIND_diet,Q22906945,6297,Diet intended to delay neurodegeneration,Low-importance,9670.0,12,115,209
463,463,463,Maeve_Kennedy_McKean,Q75326815,165241,"American public health official, human rights attorney and academic ( 1979-2020)",Low-importance,32510.0,27,149,331
464,464,464,Major_depressive_disorder,Q42844,43185,"all-encompassing low mood accompanied by low self-esteem, and by loss of interest or pleasure in normally enjoyable activities",High-importance,217619.0,331,2856,1533
465,465,465,Mall_walking,Q6744008,224,form of exercise in which people walk or jog through the usually long corridors of shopping malls,Unknown-importance,2752.0,8,69,98
466,466,466,Managed_care,Q1416012,26908,type of health insurance system,Mid-importance,35978.0,10,183,184
467,467,467,Management_of_obesity,Q6746705,119,body fat reduction,Low-importance,71672.0,38,75,472
468,468,468,Manicure,Q747493,13430,cosmetic beauty treatment for the fingernails and hands,Low-importance,13706.0,24,284,266
469,469,469,Manicurist,Q11325221,762,nail technician or manicurist,Low-importance,29.0,0,36,1
470,470,470,Mannatech,Q3372572,115,American multi-level marketing company,Low-importance,27632.0,16,106,237
471,471,471,Manscaped,Q109236238,4631,male grooming product company and brand,Low-importance,6217.0,14,78,37
472,472,472,Mansel_Aylward,Q20962004,146,British health scientist,Low-importance,7184.0,12,7,42
473,473,473,Maria_Kang,Q21285289,381,"American fitness advocate, coach, blogger and founder of the No Excuse Mom movement",Mid-importance,31487.0,7,11,146
474,474,474,Mark_Mastrov,Q22006688,253,American businessman (born 1958),Low-importance,5206.0,9,20,38
475,475,475,Mark_Rippetoe,Q6769444,512,American strength coach,Unknown-importance,13508.0,10,29,72
476,476,476,Mark_Sisson,Q2687894,2054,American endurance athlete,Low-importance,5512.0,12,9,41
477,477,477,Mary_Carson_Breckinridge,Q3850444,208,American nurse (1881–1965),Unknown-importance,28339.0,9,390,762
